युक्रेन-रुस युद्धः चेचन्यादेखि एलेप्पो अनि युक्रेनसम्म प्रतिरोधको सामना गर्ने पुटिनको रणनीति	मैले यो लेखिरहँदा किएभको केन्द्र र यसका धेरै उपनगरहरू अछुतै छन्। साइरन र चेतावनीहरू भने बारम्बार आइरहन्छन्। यहाँका हरेक व्यक्तिलाई थाहा छ- यो अवस्थामा जुनसुकै बेला परिवर्तन हुनसक्छ। त्यस्तो परिवर्...	bbc.com	१० घण्टा अघि	https://l.hamropatro.com/r/https://www.bbc.com/nepali/news-60643742?xtor=AL-73-[partner]-[hamro.patro]-[headline]-[nepali]-[bizdev]-[isapi]	popular
माओवादी केन्द्र र नेकपा (एकीकृत समाजवादी) ले मन्त्रीहरु परिवर्तन गर्दै, को-को हट्दैछन् ?	काठमाडौं, २४ फागुन । नेकपा (माओवादी केन्द्र) र नेकपा (एकीकृत समाजवादी) ले पार्टीबाट सरकारमा सहभागी केही मन्त्रीहरुलाई फिर्ता बोलाउने तयारी गरेका छन् । प्रधानमन्त्री शेरबहादुर देउवासँगको छलफल र सहमत...	reportersnepal.com	७ घण्टा अघि	https://l.hamropatro.com/r/https://www.reportersnepal.com/2022/03/657717	popular
नीर शाहलाई राष्ट्रियसभा सदस्यमा मनोनित गर्ने तयारी !	काठमाडौं । वरिष्ठ अभिनेता एवं निर्देशक नीर शाहलाई राष्ट्रियसभा सदस्यमा मनोनित गर्ने तयारी गरिएको छ । सरकारको सिफारिसमा राष्ट्रपतिले मनोनित गर्ने तीनजनामध्ये एक रिक्त पदमा शाहलाई मनोनित गर्ने तयारी ...	onlinekhabar.com	५ घण्टा अघि	https://l.hamropatro.com/r/https://www.onlinekhabar.com/2022/03/1090812	popular
नागार्जुनमा पूरै परिवारले विष पिएर आत्महत्या गर्न खोज्नुको कारण आर्थिक तनाव	काठमाडौं: काठमाडौंको नागार्जुन नगरपालिका-६ रामकोट डाँडापौवास्थित एक परिवारले विष पिएर आत्महत्या गर्न खोज्नुको कारण खुलेको छ। घटनास्थलबाट प्रहरीले फेला पारेको सुसाइड नोटबाट आर्थिक तनावका कारण परिवा...	annapurnapost.com	४ घण्टा अघि	https://l.hamropatro.com/r/https://annapurnapost.com/news/197999	popular
ओलेना जेलेन्स्का : युक्रेनका राष्ट्रपतिकी श्रीमती जो पर्दा पछाडि निभाइरहेकी छिन् महत्वपूर्ण भूमिका	युक्रेनमाथि रुसको हमलापछि जब देशका राष्ट्रपति वोलोदिमिर जेलेन्स्कीले देश छोड्ने प्रस्ताव पाए तब उनले भिडियोमार्फत् भने, ‘मलाई हतियार चाहिएको छ, यातायात होइन ।’ उनकी श्रीमती ओलेना जेलेन्स्का र दुई ...	ratopati.com	५ घण्टा अघि	https://l.hamropatro.com/r/https://ratopati.com/story/225255/2022/3/8/ukraine-first-lady	popular
के हो 'नो फ्लाई जोन' ? रुस र अमेरिका आमनेसामने होलान् ?	काठमाडौं । हालै रोयटर्सले अमेरिकामा गरेको मत सर्वेक्षणमा ७४ प्रतिशत सहभागीले नेटोले युक्रेनमा 'नो–फ्लाई जोन' लागु गर्नुपर्नेमा समर्थन गरे । युक्रेनमा रुसी आक्रमणबीच अमेरिकी नागरकिले युक्रेनी नागरिक...	baahrakhari.com	२ घण्टा अघि	https://l.hamropatro.com/r/https://baahrakhari.com/news-details/343674	popular
फाइनान्सले जागिरबाट निकाल्यो, प्रहरीमा लगेर थुनायो अनि परिवारले नै विष पिए	फाइनान्सकै कारण उजाडियो परिवार काठमाडौंको रामकोटमा एकै परिवारका ५ जनाले एकसाथ विष पिएको घटनामा गोरखा फाइनान्स जोडिएको छ।  गोरखा फाइनान्सले झुटो आरोप लगाउँदै मुद्दा दर्ता गरेपछि आत्महत्याको निर्णय...	nepalkhabar.com	५ घण्टा अघि	https://l.hamropatro.com/r/https://nepalkhabar.com/society/122982-2022-3-8-16-6-48	popular
११ वर्षीय बालिकालाई पनि ‘विष’ खुवाएर किन गरे परिवारका सबै सदस्यले आत्महत्या प्रयास ?	काठमाडौं । ‘सुसाइड’ नोट लखेर आत्महत्याको प्रयास गर्ने काठमाडौंमा एकै परिवारका पाँचजनाबारे प्रहरी अनुसन्धान जारी छ । पाँचमध्ये एकजनाको मृत्यु भएको छ । चारजनाको अचेत अवस्थामा स्वयम्भूस्थित मनमोहन मेम...	baahrakhari.com	१२ घण्टा अघि	https://l.hamropatro.com/r/https://baahrakhari.com/news-details/343622	popular
युक्रेनले यी शर्त मानेमा रुसले तत्काल रोक्नेछ युद्ध	रुसले युद्ध रोक्नका लागि युक्रेनका अगाडि चारवटा शर्त राखेको छ ।  पहिलो, युक्रेनले तत्कालै सैन्य कारवाही रोक्नुपर्छ । दोस्रो, युक्रेनले संविधन संशोधन गरेर आफूलाई कुनै पनि गठबन्धनमा रहन दिनुहुँदैन ...	lokaantar.com	७ घण्टा अघि	https://l.hamropatro.com/r/https://lokaantar.com/story/174915/2022/3/8/international/ukraine-invasion	popular
युक्रेनबाट फर्किएका पवन भन्छन्- रूसी जासुस ठानेर युक्रेनीले चक्कु हान्न खोजे (भिडिओ)	राति नै रूसले आक्रमण गरिसकेको थियो। युक्रेनका मिलिटरी बेसका राडार ध्वस्त भैसकेका थिए। फागुन १२ गते बिहान  उज्यालो नहुँदै युक्रेनमा कोकोहोलो मच्चिसकेको थियो। त्यही कोकोहोलोमा फसेका थिए डाक्टर पवन ति...	setopati.com	४ घण्टा अघि	https://l.hamropatro.com/r/https://www.setopati.com/social/264097	popular
नेटो कायर संस्था हो : जेलेन्स्की	युक्रेनका राष्ट्रपति भोलोदीमीर जेलेन्स्कीले पश्चिमी सैन्य गठबन्धन नेटो कायर संस्था भएको बताएका छन् ।  रुसले युक्रेनमाथि आक्रमण गरेपछि नेटोले युक्रेनलाई सार्थक सहयोग नगरेकाले जेलेन्स्की आक्रोशित भए...	lokaantar.com	७ घण्टा अघि	https://l.hamropatro.com/r/https://lokaantar.com/story/174919/2022/3/8/international/Zelensky-on-NATO	popular
