युक्रेन-रुस युद्धः मानवीय सङ्कट गहिरिँदै, नो फ्लाई जोनले 'तेस्रो विश्वयुद्ध निम्त्याउन सक्ने' अमेरिकी सिनेटरको चेतावनी	युक्रेनमा रुसी फौजको निरन्तर हमलाबीच मानवीय सङ्कट गहिरिँदै गएको छ। रुसी फौजको गोलाबारीका कारण फसिरहेका सर्वसाधारण हातमुख जोड्न नसक्ने वा भोकभोकै बस्नुपर्ने स्थितिमा पुगेको बताइएको छ। गोलाबारीमा स...	bbc.com	११ घण्टा अघि	https://l.hamropatro.com/r/https://www.bbc.com/nepali/news-60642816?xtor=AL-73-[partner]-[hamro.patro]-[headline]-[nepali]-[bizdev]-[isapi]	popular
एमसीसी कार्यान्वयन हुँदैन : उपमहासचिव ज्ञवाली	नुवाकोट : नेकपा एमालेका उपमहासचिव प्रदीप ज्ञवालीले नेपालमा एमसीसी कार्यान्वयन नहुने बताएका छन् । उनले सत्तारुढ दलहरुले  'व्याख्यात्मक घोषणा' नाममा १२ बुँदेसहित पत्र पठाएको एमसीसीको प्रस्ताव स्वीकार...	annapurnapost.com	१० घण्टा अघि	https://l.hamropatro.com/r/https://annapurnapost.com/news/197867	popular
पूजा शर्माले सार्वजनिक गरिन् आफ्नो प्रेमी	काठमाडौं: अभिनेत्री पूजा शर्माले पहिलोपटक आफ्ना प्रेमी सार्वजनिक गरेकी छिन्। उनले सामाजिक सञ्जाल फेसबुकमार्फत व्यवसायी युद्ध बानियासँगको प्रेमसम्बन्धमा रहेको खुलासा गरेकी छिन्। उनले युद्धसँगको एक ...	pahilopost.com	१० घण्टा अघि	https://l.hamropatro.com/r/https://pahilopost.com/content/20220307002656.html	popular
प्रचण्ड, माधवलाई हामी जिताउँछौँ : शेखर कोइराला	आगामी चुनावमा कम्युनिस्टहरूसँग गठबन्धन गर्न नहुने बताउँदै आएका नेपाली काँग्रेसका नेता डा. शेखर कोइरालाले प्रचण्ड, माधवकुमार नेपाल र रामचन्द्र पौडेलजस्ता नेताहरूलाई चुनाव जिताउनुपर्ने बताएका छन्  । ...	ratopati.com	७ घण्टा अघि	https://l.hamropatro.com/r/https://ratopati.com/story/224941/2022/3/7/shekhar-koirala-	popular
रुसी हमलामा युक्रेनका राष्ट्रपति मारिए के होला ? अमेरिकाले दियो जवाफ	रुसी हमलामा युक्रेनका राष्टपति मारिएको खण्डमा के होला भन्ने प्रश्न धेरैको मनमा उठेका हुनसक्छन् । यही विषयमा अमेरिकाका विदेशमन्त्री एन्टनी ब्लिङ्कनलाई प्रश्न सोधिएको छ । सिबिएस न्युज च्यानलले एक अन्...	ratopati.com	६ घण्टा अघि	https://l.hamropatro.com/r/https://ratopati.com/story/224956/2022/3/7/russia-attack	popular
बेलारुसको भूमिबाट रुसले खसायो युक्रेनको लडाकू विमान, बन्यो कीर्तिमान	रुसले बेलारुसमा राखेको एस–४०० प्रतिरक्षा प्रणालीबाट युक्रेनी वायुसेनाको सु–२७ लडाकू विमान खसाएको छ ।  १५० किलोमिटर टाढाबाट सटीक निशाना लगाएर विमान खसाउँदै रुसले कीर्तिमान कायम गरेको छ ।  युक्रेनी...	lokaantar.com	६ घण्टा अघि	https://l.hamropatro.com/r/https://lokaantar.com/story/174780/2022/3/7/international/s-400	popular
जहाँ पुगेपछि धेरैले सोध्छन्- राति झिलिमिली हुने ठाउँ यही हो?	सहरको दैनिक व्यस्तताबाट कहिलेकाहीँ अलग हुने र प्रकृतिमा रमाउने चाहना कसलाई हुँदैन! टाढासम्म पुग्ने फुर्सद मिलाउन पनि मुश्किल हुन्छ। खर्चको पनि ख्याल राख्नै पर्‍यो। यस्तो बेलामा आफ्नो गच्छेअनुसार न...	setopati.com	१२ घण्टा अघि	https://l.hamropatro.com/r/https://www.setopati.com/kinmel/business/263659	popular
१५ वर्षकी आफ्नै विद्यार्थीलाई जङ्गलामा लगेर घरघरी बलात्कार गर्ने २७ वर्षका शिक्षक पक्राउ	अर्घाखाँची । जिल्लाको एक शिक्षक आफ्नै विद्यार्थीलाई बलात्कार गरेको आरोपमा पक्राउ परेका छन् । जिल्ला प्रहरी कार्यालय अर्घाखाचीले बिज्ञप्ति निकारलेर शिक्षकले विद्यार्थीलाई पटक-पटक बलात्कार गरेको खुल...	news24nepal.tv	८ घण्टा अघि	https://l.hamropatro.com/r/https://www.news24nepal.tv/2022/03/07/861728	popular
जब ओली पकौडा खान क्यान्टिनको भान्छामै पुगे	नेकपा (एमाले)का अध्यक्ष केपी शर्मा ओलीले क्याम्पस पुगेर पकौडा खाएका छन् ।  नवलपुरस्थित मध्यविन्दु बहुउद्देश्यीय क्याम्पसको १६ औं स्थापना दिवसका अवसरमा आयोजित कार्यक्रमका बेला उनले भान्छामै छिरेर प...	lokaantar.com	३ घण्टा अघि	https://l.hamropatro.com/r/https://lokaantar.com/story/174796/2022/3/7/current-affairs/oli-	popular
अमेरिकी विदेशमन्त्रीलाई प्रश्न : रुसको आक्रमणमा युक्रेनका राष्ट्रपति मारिए के हुन्छ ?	२३ फागुन, काठमाडौं । रुसले बाह्र दिनदेखि युक्रेनमा घातक आक्रमण जारी राखेको छ । प्रमुख निशानामा युक्रेनका राष्ट्रपति भ्लोदोमिर जेलेन्स्की छन् । उनको यसअघि तीन पटकसम्म हत्या प्रयास भएको समाचार सार्व...	onlinekhabar.com	५ घण्टा अघि	https://l.hamropatro.com/r/https://www.onlinekhabar.com/2022/03/1090193	popular
रेखा थापाविरुद्ध गालीगलौजको जाहेरी परेपछि शर्मिला वाइबा प्रहरी नियन्त्रणमा	२३ फागुन, काठमाडौं । अभिनेत्री रेखा थापाविरुद्ध गालीगलौज गरेको आरोपमा प्रहरीले एक युवतीलाई नियन्त्रणमा लिएको छ । गालीगलौजको जाहेरी परेपछि काठमाडौंको बालाजुमा बस्दै आएकी शर्मिला वाइबालाई नियन्त्रणम...	onlinekhabar.com	५ घण्टा अघि	https://l.hamropatro.com/r/https://www.onlinekhabar.com/2022/03/1090200	popular
